ID_REF,mean_PE,mean_Control,t,pval,pval_mwu,log2FC,padj,padj_mwu,neg_log10_padj,symbol,probe_start
ILMN_1738818,6.587399839657227,6.561318405141981,0.4803784897729579,0.6407586102184141,0.5244497218060843,0.026081434515245583,0.8231965339772651,0.7388585493510428,0.08449646681427854,RAG1,6376.0
ILMN_1806122,8.662588008791955,8.58186333339034,0.4794164340929533,0.6408203426567681,0.22431312651115398,0.08072467540161554,0.8232218859886821,0.4803104208810497,0.08448309203842463,CHD8,7016.0
ILMN_1739397,7.649349515364745,7.617327091549422,0.48074812098350045,0.6411154065503655,0.11821228877965623,0.03202242381532283,0.8234234539664304,0.34240861125610195,0.08437676694366669,GLMN,1740.0
ILMN_1663893,6.57816055028928,6.601864827374855,-0.4815033500416698,0.6412606693623932,0.6025243523612969,-0.023704277085574432,0.8234234539664304,0.7923569158425884,0.08437676694366669,C21orf128,1491.0
ILMN_2103388,6.720818775023107,6.697776113642392,0.4804249773331727,0.641245794423992,0.45191345827907314,0.023042661380715757,0.8234234539664304,0.6836952528348342,0.08437676694366669,ZNF509,2444.0
ILMN_1715968,7.3877911176217035,7.444069517254007,-0.477392097522459,0.6411763473997031,0.45191345827907314,-0.05627839963230308,0.8234234539664304,0.6836952528348342,0.08437676694366669,MLL4,8162.0
ILMN_2116516,6.868882001596091,6.897007847025965,-0.47709931665373184,0.6412394483481056,0.8621866944007625,-0.02812584542987384,0.8234234539664304,0.9359096969014423,0.08437676694366669,SCRN3,2077.0
ILMN_1664644,6.955918245081701,6.992060304731651,-0.48122368715839686,0.6412713139532452,0.3854182323682295,-0.036142059649949765,0.8234234539664304,0.6296535066385786,0.08437676694366669,ATG16L2,1838.0
ILMN_1763529,6.686750656691308,6.706771313091065,-0.47786924189281427,0.6412102626943266,0.45191345827907314,-0.020020656399756476,0.8234234539664304,0.6836952528348342,0.08437676694366669,LOC650254,775.0
ILMN_1726387,6.634221452446376,6.655159523279841,-0.4786290057349603,0.6414799608604521,0.8621866944007625,-0.02093807083346544,0.8235388087063213,0.9359096969014423,0.08431593017987021,NF1,8679.0
ILMN_1691291,7.197497923247881,7.243939377448274,-0.48336976263071557,0.6414096882606204,0.3252709799742125,-0.046441454200392585,0.8235388087063213,0.5807119481259257,0.08431593017987021,PIGS,2159.0
ILMN_2189936,11.831736131127833,11.896204727438617,-0.47738691367142033,0.6414871961291829,0.7723374412927805,-0.06446859631078361,0.8235388087063213,0.8913439817934403,0.08431593017987021,RPL36AL,31.0
ILMN_1673509,6.857981665268689,6.887949063088854,-0.47796943305404244,0.6416195293725334,0.27158867424337474,-0.02996739782016533,0.8236547511448705,0.5303785597134988,0.0842547920567124,RPL28,3974.0
ILMN_2129734,6.7338720473692675,6.69415596668884,0.4801806553969219,0.6421006014829203,0.6025243523612969,0.03971608068042709,0.8242183293822344,0.7923569158425884,0.08395773164466604,LOC441601,690.0
ILMN_1687403,7.54428993300493,7.627568651420835,-0.47569039497771376,0.6421944799936279,0.7723374412927805,-0.0832787184159045,0.8242491095832498,0.8913439817934403,0.08394151334257714,MRPL40,458.0
ILMN_2324202,7.300361742174223,7.216054949669797,0.48029085236501734,0.6422086833098001,0.9538571530616036,0.0843067925044263,0.8242491095832498,0.9790822191642486,0.08394151334257714,GABRE,2458.0
ILMN_1695821,7.686177776534585,7.656450018349774,0.4773736230765482,0.6422642541345184,0.7723374412927805,0.029727758184811215,0.8242664601120078,0.8913439817934403,0.08393237149516425,ACTR1B,1779.0
ILMN_1713752,7.9350930497853955,7.881869229980033,0.47588679001053,0.6423994586852297,0.6854434826775221,0.05322381980536228,0.82438600168189,0.841815645611661,0.08386939127895494,SERINC3,2542.0
ILMN_1811048,6.578115062264875,6.595613043699851,-0.47684817878096536,0.642589901410551,0.9538571530616036,-0.017497981434975607,0.8244144951923162,0.9790822191642486,0.08385438088276347,GPR107,2612.0
ILMN_1716922,8.055950416617286,8.1007928366417,-0.4790252827212387,0.6425453369689179,0.8621866944007625,-0.04484242002441441,0.8244144951923162,0.9359096969014423,0.08385438088276347,DHX16,3130.0
ILMN_1688625,8.148574627253545,8.04808012503558,0.4753822432437259,0.6425846222610229,0.6854434826775221,0.10049450221796441,0.8244144951923162,0.841815645611661,0.08385438088276347,AIM1,6919.0
ILMN_3201485,8.101774179994326,8.136087091271097,-0.4752790114615388,0.6424745084726285,0.6025243523612969,-0.034312911276771274,0.8244144951923162,0.7923569158425884,0.08385438088276347,LOC644988,979.0
ILMN_1704383,6.959516284169712,6.929168224273395,0.47625801548681174,0.6426788427290034,0.7723374412927805,0.030348059896316393,0.8244563709126665,0.8913439817934403,0.08383232167285004,TRIM37,3642.0
ILMN_2053178,12.966814168720475,13.006692105194636,-0.4790163852688836,0.6427066653510303,0.6854434826775221,-0.039877936474161046,0.8244563709126665,0.841815645611661,0.08383232167285004,ACTG1,1604.0
ILMN_2415189,10.313194752939376,10.356760698739956,-0.4747924974999915,0.6428139206454099,0.7723374412927805,-0.04356594580058015,0.8245399946712048,0.8913439817934403,0.08378827386573746,ATP1A1,2650.0
ILMN_1774779,6.576148236579409,6.55173468360894,0.4835005518028257,0.6428753257387044,0.3252709799742125,0.024413552970469432,0.8245647990972611,0.5807119481259257,0.08377520929227365,LOC647121,982.0
ILMN_1686968,8.593576983081073,8.622217577639601,-0.47475799845502453,0.6431062797777977,1.0,-0.028640594558527965,0.8247726139408369,1.0,0.0836657679619713,ZNF362,2693.0
ILMN_2225735,9.221550341740986,9.151728825319555,0.47786011500445436,0.6431215056105174,0.3854182323682295,0.06982151642143108,0.8247726139408369,0.6296535066385786,0.0836657679619713,CRBN,2087.0
ILMN_2336781,8.354379534773123,8.218611308736,0.4752964219654693,0.6431694930495261,0.9538571530616036,0.1357682260371238,0.8247801919047276,0.9790822191642486,0.08366177770729116,SOD2,677.0
ILMN_1659762,11.220642614762983,11.280639495715658,-0.4758556141592883,0.6432381492292377,0.8621866944007625,-0.0599968809526743,0.824814272081793,0.9359096969014423,0.08364383289337837,BTF3,430.0
ILMN_2257833,7.376211500571742,7.327746124400136,0.47429538943641797,0.6433436871475177,0.3854182323682295,0.04846537617160607,0.8248956375860858,0.6296535066385786,0.0836009931318504,BBS7,3513.0
ILMN_1769473,8.452667466767988,8.41040249456945,0.47764911133699817,0.6434283201771714,0.9538571530616036,0.042264972198537976,0.8248962328335887,0.9790822191642486,0.08360067974358545,SETD2,7566.0
ILMN_1796629,7.537930495611496,7.4141911002245156,0.48327393599485624,0.6434086384527791,0.14801069402378172,0.12373939538698053,0.8248962328335887,0.3867694458819018,0.08360067974358545,EDNRA,4024.0
ILMN_1759154,8.60662021297211,8.560090546139236,0.4753574180121726,0.643528918141124,0.9538571530616036,0.04652966683287474,0.8249253864786438,0.9790822191642486,0.08358533109373398,PABPN1,2790.0
ILMN_1776153,6.69893995869641,6.679860037897128,0.47384060320351057,0.6435352321128994,0.5244497218060843,0.01907992079928178,0.8249253864786438,0.7388585493510428,0.08358533109373398,AGGF1,3920.0
ILMN_3243061,7.069476469373869,7.149834862768275,-0.47620655853301264,0.6436101131109164,0.3252709799742125,-0.08035839339440543,0.8249674226449826,0.5807119481259257,0.08356320108021516,SIGLEC14,1957.0
ILMN_1705407,7.6342630125666675,7.6734829937520725,-0.4745405685766232,0.6439071449483358,0.5244497218060843,-0.03921998118540504,0.8252941834912921,0.7388585493510428,0.08339121570070783,NOP56,1536.0
ILMN_2045453,6.607347583419845,6.625802875519438,-0.4732131535209633,0.6439701675299079,0.6854434826775221,-0.018455292099592846,0.8253209921376831,0.841815645611661,0.08337710841832269,CFHR2,474.0
ILMN_1767256,7.263635496407095,7.300125391955617,-0.4728612615745978,0.6443014541386074,0.6854434826775221,-0.036489895548522,0.8256376047705833,0.841815645611661,0.08321053474250473,MBTPS1,3480.0
ILMN_2398865,7.554794572384426,7.48913899219428,0.47579041228216734,0.6442984589411953,0.45191345827907314,0.06565558019014617,0.8256376047705833,0.6836952528348342,0.08321053474250473,VPS13C,10296.0
ILMN_2041161,7.012237047381464,7.035384936764102,-0.47303052249422295,0.6443994487968905,0.3854182323682295,-0.023147889382638454,0.8257091976118095,0.6296535066385786,0.08317287775141972,DENND4A,5742.0
ILMN_1907467,6.834159723348305,6.888392253626814,-0.47381127973883425,0.644671281996326,0.7723374412927805,-0.05423253027850894,0.8258067531694121,0.8913439817934403,0.0831215699328364,,478.0
ILMN_2326282,7.948796140502707,7.883896936833551,0.4759125969796902,0.6448968915241157,0.7723374412927805,0.0648992036691558,0.8258067531694121,0.8913439817934403,0.0831215699328364,C19orf6,2304.0
ILMN_1784554,7.647168839087812,7.7469871599721145,-0.47391771415524436,0.6447564103906007,0.8621866944007625,-0.0998183208843022,0.8258067531694121,0.9359096969014423,0.0831215699328364,LOC647389,837.0
ILMN_2090567,6.655562635142041,6.63115264678097,0.47601234475254917,0.6448645310069618,0.8621866944007625,0.024409988361070667,0.8258067531694121,0.9359096969014423,0.0831215699328364,THSD1P,2871.0
ILMN_2203147,6.622422049337553,6.643231597494037,-0.4732186749811433,0.6446052061063264,0.6854434826775221,-0.020809548156483615,0.8258067531694121,0.841815645611661,0.0831215699328364,TMPRSS12,795.0
ILMN_3279144,6.817296071799282,6.7773051455837745,0.4756170616656712,0.6446416328379159,0.3854182323682295,0.03999092621550737,0.8258067531694121,0.6296535066385786,0.0831215699328364,LOC100131672,1.0
ILMN_2148527,13.35174055846412,13.378263728160306,-0.4774879215845714,0.6448634363360206,0.7723374412927805,-0.026523169696185178,0.8258067531694121,0.8913439817934403,0.0831215699328364,H19,2002.0
ILMN_1742705,7.017084149218829,7.075131083354676,-0.48048357084247584,0.64482053061802,0.5244497218060843,-0.05804693413584694,0.8258067531694121,0.7388585493510428,0.0831215699328364,SLC39A11,2476.0
ILMN_1671885,8.218854315533612,8.253987382422425,-0.47645229946372014,0.6447522632334945,0.6025243523612969,-0.03513306688881279,0.8258067531694121,0.7923569158425884,0.0831215699328364,MLF2,1189.0
ILMN_2410428,6.629362192282332,6.6079567021452865,0.4733757705658548,0.6448169363019018,1.0,0.02140549013704529,0.8258067531694121,1.0,0.0831215699328364,PARG,2484.0
ILMN_1699496,8.695423444742909,8.639946642765159,0.4728832919726464,0.6450534506059696,0.6854434826775221,0.05547680197775051,0.8259532718400582,0.841815645611661,0.08304452211794704,PHF21A,3438.0
ILMN_3258321,8.514842822147138,8.471360840122676,0.475674715734314,0.6451338982407772,0.22431312651115398,0.04348198202446163,0.8260023214721715,0.4803104208810497,0.08301873209712725,LOC100130932,484.0
ILMN_1741331,7.665892211514992,7.642459863532957,0.4715029182985415,0.6454286135684145,0.6025243523612969,0.023432347982034862,0.8263256861237422,0.7923569158425884,0.08284874710024161,MUDENG,2242.0
ILMN_1800261,12.265869035388178,12.36237412657036,-0.4789522829167996,0.6455257579320012,0.04265810368390701,-0.09650509118218231,0.826396080022543,0.20206386896798612,0.08281175154242479,TUBA1B,1563.0
ILMN_1813635,7.497730554986633,7.470394642362228,0.4707267797205393,0.6457103411937778,0.8621866944007625,0.027335912624405267,0.8265580025730555,0.9359096969014423,0.08272666500414927,KIAA1429,5282.0
ILMN_1851169,6.631012786534441,6.659590502007231,-0.4757756722006933,0.6457365794296821,1.0,-0.028577715472789755,0.8265580025730555,1.0,0.08272666500414927,,205.0
ILMN_3204933,6.788360464287339,6.833029926323319,-0.4708313824367808,0.645920208488293,0.5244497218060843,-0.04466946203597999,0.8267390627255473,0.7388585493510428,0.08263154183834369,LOC401805,211.0
ILMN_3226045,10.599896168573412,10.627129547462898,-0.47171280618612094,0.6460488888831079,0.8168005804132161,-0.02723337888948585,0.826849772836944,0.9359096969014423,0.08257338857858733,LOC728533,2180.0
ILMN_3289745,7.04791181141183,7.002635996557669,0.4718246428052065,0.6461728722733353,0.9538571530616036,0.04527581485416121,0.8269544573928993,0.9790822191642486,0.08251840755456824,LOC339352,919.0
ILMN_1767894,7.84419471714092,7.8148391346624475,0.47499138855173684,0.646382140206543,0.6025243523612969,0.029355582478472364,0.827114266235047,0.7923569158425884,0.08243448831042965,POLB,1082.0
ILMN_2194009,6.74124945128439,6.787457346583039,-0.4720362965383474,0.6463751070449586,0.6854434826775221,-0.04620789529864844,0.827114266235047,0.841815645611661,0.08243448831042965,ABCC4,5504.0
ILMN_2332795,7.2588691503276985,7.278981208924201,-0.47168782110649066,0.6464310292977672,0.7723374412927805,-0.02011205859650289,0.8271228282045522,0.8913439817934403,0.0824299926838682,ZNF16,2385.0
ILMN_1717234,8.08765492338755,8.134999699059893,-0.47316863904283324,0.646707778315704,0.9538159449155051,-0.047344775672343076,0.8272994316252686,0.9790822191642486,0.08233727404334218,CAST,2037.0
ILMN_2386530,12.340895892736132,12.394054933316486,-0.4690889960083808,0.6467777149110763,0.6025243523612969,-0.053159040580354144,0.8272994316252686,0.7923569158425884,0.08233727404334218,RPLP1,177.0
ILMN_2411658,6.5882576780686435,6.569588421161897,0.4691034066420292,0.6467800872519575,0.8621866944007625,0.01866925690674659,0.8272994316252686,0.9359096969014423,0.08233727404334218,HPS1,1020.0
ILMN_1663486,7.4064127995410125,7.385386581609444,0.4702680323995979,0.6466699129241956,0.6854434826775221,0.02102621793156878,0.8272994316252686,0.841815645611661,0.08233727404334218,TLK2,2960.0
